Hotel Name,Location,Price,Rating,Reviews Count,Score,Link
Mena Pyramids Hotel,"Giza, Cairo","EGP 19,509",Scored 10,10,Scored 10,https://www.booking.com/hotel/eg/fogolo-hotels.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476505&all_sr_blocks=1438196104_415688718_2_41_0&highlighted_blocks=1438196104_415688718_2_41_0&matching_block_id=1438196104_415688718_2_41_0&sr_pri_blocks=1438196104_415688718_2_41_0__40500&from=searchresults
Macy's Hotel Apartment,"Mohandesin, Cairo (Mohandesin)","EGP 11,055",Scored 5.5,5.5,Scored 5.5,https://www.booking.com/hotel/eg/macys-apartment.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=26&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1071525601_415174781_2_0_0&highlighted_blocks=1071525601_415174781_2_0_0&matching_block_id=1071525601_415174781_2_0_0&sr_pri_blocks=1071525601_415174781_2_0_0__22950&from=searchresults
Rahma Hotel abartments,"Mohandesin, Cairo (Mohandesin)","EGP 9,618",Scored 7.3,7.3,Scored 7.3,https://www.booking.com/hotel/eg/shehab-rahma-sweets-anb-abartments.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=27&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1055356701_406928985_3_0_0&highlighted_blocks=1055356701_406928985_3_0_0&matching_block_id=1055356701_406928985_3_0_0&sr_pri_blocks=1055356701_406928985_3_0_0__19967&from=searchresults
Giza Pyramids Hotel,"Giza, Cairo","EGP 1,517",Not available,Not available,Not available,https://www.booking.com/hotel/eg/apartment-pyramids-3-inn.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=28&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1447080003_418126765_2_42_0&highlighted_blocks=1447080003_418126765_2_42_0&matching_block_id=1447080003_418126765_2_42_0&sr_pri_blocks=1447080003_418126765_2_42_0__3150&from=searchresults
Mondy Pyramids Hotel,"Giza, Cairo","EGP 1,561",Not available,Not available,Not available,https://www.booking.com/hotel/eg/islam-pyramids-qsm-msr-ljdyd.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=29&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1168697103_389573602_2_42_0&highlighted_blocks=1168697103_389573602_2_42_0&matching_block_id=1168697103_389573602_2_42_0&sr_pri_blocks=1168697103_389573602_2_42_0__3240&from=searchresults
Hotel apartment in Downtown Cairo,Cairo,"EGP 10,838",Scored 10,10,Scored 10,https://www.booking.com/hotel/eg/apartment-in-downtown-cairo-abdeen.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=30&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1471486601_419628135_2_0_0&highlighted_blocks=1471486601_419628135_2_0_0&matching_block_id=1471486601_419628135_2_0_0&sr_pri_blocks=1471486601_419628135_2_0_0__22500&from=searchresults
Happy Day Pyramids View Hotel,"Giza, Cairo","EGP 6,444",Scored 8.9,8.9,Scored 8.9,https://www.booking.com/hotel/eg/happy-day-pyramids-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1209499402_393118998_0_1_0_757496&highlighted_blocks=1209499402_393118998_0_1_0_757496&matching_block_id=1209499402_393118998_0_1_0_757496&sr_pri_blocks=1209499402_393118998_0_1_0_757496_13378&from=searchresults
negm shehab hotel,Cairo,"EGP 10,336",Scored 2.0,2.0,Scored 2.0,https://www.booking.com/hotel/eg/negm-shehab.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1164750801_415853324_2_0_0&highlighted_blocks=1164750801_415853324_2_0_0&matching_block_id=1164750801_415853324_2_0_0&sr_pri_blocks=1164750801_415853324_2_0_0__21458&from=searchresults
Alaa Eldein Pyramids View,"Giza, Cairo","EGP 4,249",Scored 7.6,7.6,Scored 7.6,https://www.booking.com/hotel/eg/star-of-alaa-eldein.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1123660511_385093944_2_0_0&highlighted_blocks=1123660511_385093944_2_0_0&matching_block_id=1123660511_385093944_2_0_0&sr_pri_blocks=1123660511_385093944_2_0_0__8820&from=searchresults
saqqara pyramids inn,"Giza, Cairo","EGP 3,902",Scored 3.2,3.2,Scored 3.2,https://www.booking.com/hotel/eg/pharaohs-oasis.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1351066801_407441329_2_41_0_789484&highlighted_blocks=1351066801_407441329_2_41_0_789484&matching_block_id=1351066801_407441329_2_41_0_789484&sr_pri_blocks=1351066801_407441329_2_41_0_789484_8100&from=searchresults
Eastern Oasis Motel & Horse Farm,Cairo,"EGP 3,434",Scored 4.5,4.5,Scored 4.5,https://www.booking.com/hotel/eg/eastern-waha-motel-pyramid.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1215271902_402634933_2_2_0_482485&highlighted_blocks=1215271902_402634933_2_2_0_482485&matching_block_id=1215271902_402634933_2_2_0_482485&sr_pri_blocks=1215271902_402634933_2_2_0_482485_7128&from=searchresults
Ram Pyramids INN,"Giza, Cairo","EGP 4,335",Scored 8.0,8.0,Scored 8.0,https://www.booking.com/hotel/eg/ram-pyramids-inn.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1352464102_419246743_2_1_0&highlighted_blocks=1352464102_419246743_2_1_0&matching_block_id=1352464102_419246743_2_1_0&sr_pri_blocks=1352464102_419246743_2_1_0__9000&from=searchresults
Rahma Hotel Shehap,"Mohandesin, Cairo (Mohandesin)","EGP 14,306",Scored 7.3,7.3,Scored 7.3,https://www.booking.com/hotel/eg/rahma-shehap.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1150098801_388101483_0_0_0&highlighted_blocks=1150098801_388101483_0_0_0&matching_block_id=1150098801_388101483_0_0_0&sr_pri_blocks=1150098801_388101483_0_0_0__29700&from=searchresults
Grand City Hotel,Cairo,"EGP 12,486",Not available,Not available,Not available,https://www.booking.com/hotel/eg/grand-city-bdyn.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1496519102_421329705_2_1_0&highlighted_blocks=1496519102_421329705_2_1_0&matching_block_id=1496519102_421329705_2_1_0&sr_pri_blocks=1496519102_421329705_2_1_0__25920&from=searchresults
El Tahrir View Hotel,Cairo,"EGP 15,260",Scored 7.9,7.9,Scored 7.9,https://www.booking.com/hotel/eg/al-tahrir-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1358902201_411664420_0_2_0&highlighted_blocks=1358902201_411664420_0_2_0&matching_block_id=1358902201_411664420_0_2_0&sr_pri_blocks=1358902201_411664420_0_2_0__31680&from=searchresults
Oh Pyramids View,"Giza, Cairo","EGP 8,671",Scored 8.8,8.8,Scored 8.8,https://www.booking.com/hotel/eg/oh-pyramids-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1154313303_388233695_0_1_0&highlighted_blocks=1154313303_388233695_0_1_0&matching_block_id=1154313303_388233695_0_1_0&sr_pri_blocks=1154313303_388233695_0_1_0__18000&from=searchresults
Stare shehap Sweets,"Mohandesin, Cairo (Mohandesin)","EGP 11,055",Scored 7.8,7.8,Scored 7.8,https://www.booking.com/hotel/eg/stare-shehap-sweets.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=41&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1034844201_387202406_4_0_0&highlighted_blocks=1034844201_387202406_4_0_0&matching_block_id=1034844201_387202406_4_0_0&sr_pri_blocks=1034844201_387202406_4_0_0__22950&from=searchresults
Nine Pyramids View Hotel,"Giza, Cairo","EGP 9,955",Scored 7.0,7.0,Scored 7.0,https://www.booking.com/hotel/eg/nine-pyramids-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=42&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=706110614_391994249_2_1_0_723304&highlighted_blocks=706110614_391994249_2_1_0_723304&matching_block_id=706110614_391994249_2_1_0_723304&sr_pri_blocks=706110614_391994249_2_1_0_723304_20667&from=searchresults
Kemet Pyramids INN,"Giza, Cairo","EGP 5,528",Scored 7.5,7.5,Scored 7.5,https://www.booking.com/hotel/eg/kemet-pyramids.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=43&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1046288304_420651949_0_2_0&highlighted_blocks=1046288304_420651949_0_2_0&matching_block_id=1046288304_420651949_0_2_0&sr_pri_blocks=1046288304_420651949_0_2_0__11475&from=searchresults
Najm Pyramids View,"Giza, Cairo","EGP 14,870",Scored 10,10,Scored 10,https://www.booking.com/hotel/eg/tybnrz-ty-y.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=44&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1404809001_412286683_2_0_0_1188292&highlighted_blocks=1404809001_412286683_2_0_0_1188292&matching_block_id=1404809001_412286683_2_0_0_1188292&sr_pri_blocks=1404809001_412286683_2_0_0_1188292_30870&from=searchresults
Pa la ce court,"Downtown Cairo, Cairo","EGP 18,642",Scored 7.4,7.4,Scored 7.4,https://www.booking.com/hotel/eg/pa-la-ce-court.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=45&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1405667101_412607400_2_1_0&highlighted_blocks=1405667101_412607400_2_1_0&matching_block_id=1405667101_412607400_2_1_0&sr_pri_blocks=1405667101_412607400_2_1_0__38700&from=searchresults
Osiris Vista Pyramids Inn,"Giza, Cairo","EGP 11,055",Not available,Not available,Not available,https://www.booking.com/hotel/eg/osiris-vista-pyramids-inn.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=46&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1497240901_421406626_2_1_0&highlighted_blocks=1497240901_421406626_2_1_0&matching_block_id=1497240901_421406626_2_1_0&sr_pri_blocks=1497240901_421406626_2_1_0__22950&from=searchresults
FAMILY HOUSE of ISIS,"Giza, Cairo","EGP 4,422",Scored 7.1,7.1,Scored 7.1,https://www.booking.com/hotel/eg/new-sphinx-palace-pyramids-view.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=47&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1322252405_411788190_0_2_0&highlighted_blocks=1322252405_411788190_0_2_0&matching_block_id=1322252405_411788190_0_2_0&sr_pri_blocks=1322252405_411788190_0_2_0__9180&from=searchresults
ROOMES NILE VIEW MANIEl,Cairo,"EGP 13,266",Not available,Not available,Not available,https://www.booking.com/hotel/eg/studio-nile-view-abdulaziz-al-saud-street.html?label=gen173bo-10CAEoggI46AdIM1gDaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGYAgKoAgG4AuXwwMYGwAIB0gIkOWVmMDM3YmItZGJlYi00OTUwLThiYTYtYWFjYzNlMzJkYWFk2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-09-21&checkout=2025-09-30&dest_id=-290692&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=48&sr_order=popularity&srpvid=525f7c648d450097&srepoch=1758476503&all_sr_blocks=1494359006_421099178_2_0_0&highlighted_blocks=1494359006_421099178_2_0_0&matching_block_id=1494359006_421099178_2_0_0&sr_pri_blocks=1494359006_421099178_2_0_0__27540&from=searchresults
